aberrance, feminine
abidjanaise, feminine
abiétacée, feminine
abiétacées, feminine
abiétaie, feminine
abitibi, feminine
abitibienne, feminine
abkhazienne, feminine
ablactation, feminine
ablastine, feminine
ablépharie, feminine
ablons, feminine
ablutions, feminine
aboméenne, feminine
abonnée, feminine
aboyeuse, feminine
abrasivité, feminine
aaaaa, masculine
aalandais, masculine
aalénien, masculine
abacost, masculine
abalone, masculine
abandonnateur, masculine
abandonneur, masculine
abatacept, masculine
abats, masculine
abbatial, masculine
abbatiat, masculine
abbevillien, masculine
abbevillois, masculine
agora, feminine
agrafeuse, feminine
agression, feminine
agriculture, feminine
aigle, masculine
aile, feminine
aire, feminine
aisance, feminine
aisselle, feminine
akinésie, feminine
alacrité, feminine
alchimie, feminine
aleine, feminine
allergologie, feminine
allitération, feminine
allure, feminine
allusion, feminine
alluvion, feminine
allœopathie, feminine
alouette, feminine
altesse, feminine
amabilité, feminine
ambassade, feminine
ambiguïté, feminine
ambition, feminine
amende, feminine
amie, feminine
amitié, feminine
aménité, feminine
amœbe, feminine
amœnité, feminine
analytique, feminine
anaphase, feminine
anche, feminine
ancre, feminine
anguille, feminine
animation, feminine
anneau, masculine
annulation, feminine
année, feminine
anthropologie, feminine
anthropophagie, feminine
anthropotomie, feminine
antiquité, feminine
antiraciste, masculine
anxiété, feminine
anæmie, feminine
anæsthésie, feminine
aphærese, feminine
aphérèse, feminine
apocalypse, feminine
apologétique, feminine
apparence, feminine
approche, feminine
appréciation, feminine
aquaculture, feminine
aquiculture, feminine
arachnophobie, feminine
araignée, feminine
architecture, feminine
archæologie, feminine
archéologie, feminine
argentine, feminine
argile, feminine
argovie, feminine
adieu, masculine
adjectif, masculine
adobe, masculine
adolescent, masculine
adoubement, masculine
adverbe, masculine
affaiblissement, masculine
affairé, masculine
affichage, masculine
afficionado, masculine
agas, masculine
agave, feminine
agent, masculine
agir, masculine
agneau, masculine
agriculteur, masculine
ail, masculine
ain, masculine
ajout, masculine
aki, masculine
ala, masculine
