,noun,gender,lang
360,acide,m,fr
361,acicule,m,fr
362,adverbe,m,fr
363,advertissement,m,fr
364,adultisme,m,fr
365,adulescent,m,fr
366,adsorbeur,m,fr
367,adulateur,m,fr
368,adsorbant,m,fr
369,adstrat,m,fr
370,agrammatisme,m,fr
371,agouti,m,fr
372,agrainage,m,fr
373,agrafage,m,fr
374,agoranome,m,fr
375,agoniste,m,fr
376,agnosticisme,m,fr
377,alderman,m,fr
378,alcyon,m,fr
379,alcynol,m,fr
380,alcyne,m,fr
381,alcotest,m,fr
382,alcoyle,m,fr
383,amalgame,m,fr
384,amal,m,fr
385,amadou,m,fr
386,alysson,m,fr
387,amadouvier,m,fr
388,amaigrissement,m,fr
389,anarcho-syndicalisme,m,fr
390,anarchisant,m,fr
391,anatocisme,m,fr
392,anarchosyndicalisme,m,fr
393,anastigmat,m,fr
394,anarchisme,m,fr
395,antan,m,fr
396,antalgique,m,fr
397,antaphrodisiaque,m,fr
398,anspect,m,fr
399,antagonisme,m,fr
400,antagoniste,m,fr
401,apache,m,fr
402,apaisement,m,fr
403,apanage,m,fr
404,aramon,m,fr
405,aramide,m,fr
406,aubier,m,fr
407,aubain,m,fr
408,aubin,m,fr
409,attroupement,m,fr
410,aveu,m,fr
411,aviateur,m,fr
412,avertisseur,m,fr
413,aveuglement,m,fr
414,avestique,m,fr
415,bagne,m,fr
416,baggy,m,fr
417,baguier,m,fr
418,bagnard,m,fr
419,bagou,m,fr
420,bagout,m,fr
421,baguettisant,m,fr
422,baguel,m,fr
423,baguenaudier,m,fr
424,bagarreur,m,fr
425,bagagiste,m,fr
426,bagel,m,fr
427,baptiseur,m,fr
428,banquier,m,fr
429,bagad,m,fr
430,baobab,m,fr
431,banquiste,m,fr
432,banvin,m,fr
433,banqueroutier,m,fr
434,banqueteur,m,fr
435,bateleur,m,fr
436,bagage,m,fr
437,bannier,m,fr
438,batelet,m,fr
439,banquet,m,fr
440,bannissement,m,fr
441,bateau-lavoir,m,fr
442,bateau-pilote,m,fr
443,bateau-phare,m,fr
444,batelage,m,fr
445,bateau-mouche,m,fr
446,batardeau,m,fr
447,bateau-feu,m,fr
448,bateau,m,fr
449,bataillon,m,fr
450,belluaire,m,fr
451,batara,m,fr
452,belosse,m,fr
